,id,tweet,tweet_cleaned,ypred
200,1513763309408894978t,"@ndinetshidzini @CyrilRamaphosa
@PresidencyZA
@David_Makhura
WE ARE SAYING NO TO MANDATORY VACCINATION!
We cannot ALLOW to be controlled &amp; bullied as if we don't have rights!

It is high time that we go to the streets and protest.
Let us stand up &amp; stop this evil agendas!
#NoToHealthActAmendment", ndinetshidzini  cyrilramaphosa   presidencyza   david makhura  we are saying no to mandatory vaccination   we cannot allow to be controlled  amp  bullied as if we do not have rights     it is high time that we go to the streets and protest   let us stand up  amp  stop this evil agendas    notohealthactamendment,third-party
201,1485632192508272649t,"1st shot  2nd shot  Booster. Available on over 80 products! #stickers #tshirts #pillows #mugs #masks https://t.co/PjEHrxbIK4
#vaccine #booster",1st shot  2nd shot  booster  available on over 80 products   stickers  tshirts  pillows  mugs  masks    vaccine  booster,primary
202,1416907544904159233t,"A shortage of doctors and nurses has contributed to Japan's slow vaccine rollout, professor says https://t.co/UhXvU7799p",a shortage of doctors and nurses has contributed to japan s slow vaccine rollout  professor says ,primary
203,1403269840341766151t,@jillmcmullon @Forgetfulness19 Has that bird been vaccinated with something better than me? 😂, jillmcmullon  forgetfulness19 has that bird been vaccinated with something better than me   face with tears of joy ,primary
204,1412752982920384514t,@BorisJohnson @sajidjavid Given that people who are entering into vaccination centres for appointments are those who are not yet fully protected would it not be a ‘good idea’ to publicly mandate mask wearing at vaccination centres?, borisjohnson  sajidjavid given that people who are entering into vaccination centres for appointments are those who are not yet fully protected would it not be a  good idea  to publicly mandate mask wearing at vaccination centres ,non-reporting
205,1473606613558824964t,@andrewjmmullins They have much more fans than they have players it’s all about supply and demand. Also it’s the governments of demanding the fans are vaccinated not Manchester United, andrewjmmullins they have much more fans than they have players it is all about supply and demand  also it is the governments of demanding the fans are vaccinated not manchester united,primary
206,1462664245447852043t,Annathe ku mattum 100% occupancy without vaccination certificate. https://t.co/BhG6QYMeDI,annathe ku mattum 100  occupancy without vaccination certificate  ,primary
207,1485516377079562244t,A promised show of strength for the anti-vaccine movement was precisely the opposite https://t.co/fj7TNMW0ot #SmartNews,a promised show of strength for the anti vaccine movement was precisely the opposite   smartnews,primary
208,1398474521007378432t,"Major Theater Chains in #US drop the Mask requirement for audience members, if you are fully #vaccinated",major theater chains in  us drop the mask requirement for audience members  if you are fully  vaccinated,primary
209,1424610581772918786t,@mmpadellan THESE ASSASSINS ARE ALL VAXXED 🔊🔊🔊 https://t.co/ey03AeaNnD, mmpadellan these assassins are all vaxxed  speaker high volume  speaker high volume  speaker high volume  ,third-party
210,1467773794362150914t,"Nigeria receives over 3 million vaccination doses from Mastercard Foundation, Africa CDC https://t.co/FVXD5A9RN3 via @politicsngr",nigeria receives over 3 million vaccination doses from mastercard foundation  africa cdc  via  politicsngr,primary
211,1425773041082982401t,#qanda where is PM in all this? Not long ago he said vaccination is not a race, qanda where is pm in all this  not long ago he said vaccination is not a race,primary
212,1487775681379549186t,@ifudontlike2bad @Spotify Quick quote from Rogan and make sure you listen to his podcasts when he interviews pro vaccination doctors! https://t.co/WOApDgDgWh, ifudontlike2bad  spotify quick quote from rogan and make sure you listen to his podcasts when he interviews pro vaccination doctors  ,non-reporting
213,1447973180782653443t,@Tribe4L @TheKillaCammy @neeco_tripp @SportsCenter Your close friend probably died of something else. If your friend has died because of the vaccine then t would have been widely reported in the news., tribe4l  thekillacammy  neeco tripp  sportscenter your close friend probably died of something else  if your friend has died because of the vaccine then t would have been widely reported in the news ,primary
214,1445094716903763980t,"@jjhorgan ""According to most recent data that was released by public health officials in Wales, UK, vaccinated Individuals accounted for a whopping 87% of all new Covid hospitalizations last week – even though 69% of the citizens are considered ‘fully vaccinated.’ https://t.co/uTxcfFHTIO", jjhorgan  according to most recent data that was released by public health officials in wales  uk  vaccinated individuals accounted for a whopping 87  of all new covid hospitalizations last week   even though 69  of the citizens are considered  fully vaccinated   ,third-party
215,1440463957794295812t,@savage788 @MrAndyNgo @CarminesNYC LOL I’m not a liberal you goof. We all know NYC has strict covid &amp; vaccine passport rules.The hostess didn’t make those rules. She is following orders to keep her job. She didn’t deserve to get assaulted. If they didn’t want to follow NY’s rules they shouldnt have traveled there., savage788  mrandyngo  carminesnyc lol i am not a liberal you goof  we all know nyc has strict covid  amp  vaccine passport rules the hostess did not make those rules  she is following orders to keep her job  she did not deserve to get assaulted  if they did not want to follow ny s rules they should not have traveled there ,primary
216,1452895593399873538t,"This barbaric #Fauci torture is too much...with his God like complex he experiments on everything and anything. He lies, so what makes America think he hasn’t been lying about Covid, the treatments, and the vaccine? 

Fauci is conducting an experiment, and America is the lab.",this barbaric  fauci torture is too much   with his god like complex he experiments on everything and anything  he lies  so what makes america think he has not been lying about covid  the treatments  and the vaccine      fauci is conducting an experiment  and america is the lab ,third-party
217,1519674283206791171t,@BulfordDaniel That is a lie ! It is the vaxxed that are carriers not the unvaxxed. When someone takes the jab it automatically weakens the persons and gives them disease., bulforddaniel that is a lie   it is the vaxxed that are carriers not the unvaxxed  when someone takes the jab it automatically weakens the persons and gives them disease ,third-party
218,1437622299587383299t,Soaring through the roof: Vaccine deaths skyrocket https://t.co/haecuX1CjT,soaring through the roof  vaccine deaths skyrocket ,third-party
219,1458117663616602115t,"ofc colonizers think the term ""anti-vaxxer"" is a slur like y'all wanna be oppressed so bad its embarrassing 😭😭😭",of course colonizers think the term  anti vaxxer  is a slur like you all want to be oppressed so bad its embarrassing  loudly crying face  loudly crying face  loudly crying face ,primary
220,1468743665942212612t,"@AndrewGillies9 @HeartlandSignal @Acyn Vaccine is the best. Masks are good. Hand washing is good. Avoiding close contact with people is good. Mouthwash can't hurt. But you if you think mouthwash alone can stop the spread or stop getting you infected, that's not enough.", andrewgillies9  heartlandsignal  acyn vaccine is the best  masks are good  hand washing is good  avoiding close contact with people is good  mouthwash cannot hurt  but you if you think mouthwash alone can stop the spread or stop getting you infected  that is not enough ,non-reporting
221,1469299975720947716t,"@andzsy #GreatBaringtonDeclaration is not really an answer. I just read it. It’s dated 10/20/2020 before vaccines were available. This is a long time ago. All the measures suggested were to be implemented “until a vaccine is widely available.” Now vaccines are widely available. 
1/2", andzsy  greatbaringtondeclaration is not really an answer  i just read it  it is dated 10 20 2020 before vaccines were available  this is a long time ago  all the measures suggested were to be implemented  until a vaccine is widely available   now vaccines are widely available    1 2,non-reporting
222,1481713528755167247t,"Supreme Court blocks workplace vaccine requirements, allows requirement for health-care workers
By Robert Barnes

https://t.co/UhTUbjvoeZ",supreme court blocks workplace vaccine requirements  allows requirement for health care workers  by robert barnes    ,primary
223,1431563523025473540t,@davidboxenhorn @dmanfredjnk @ScottAdamsSays Since you ‘follow the science’ why does it say about all the hospitalizations in Isreal of those who are fully vaxxed?, davidboxenhorn  dmanfredjnk  scottadamssays since you  follow the science  why does it say about all the hospitalizations in isreal of those who are fully vaxxed ,non-reporting
224,1418375669172654083t,"@xbruinboyx when you get Covid you know you have a 99.99% chance of recovery unless you are 75+ years of age with health issues, the vaccine you don’t know what’s going to happen and it kills otherwise healthy people of all ages. Here’s another link,

https://t.co/PFjyPUUxiV", xbruinboyx when you get covid you know you have a 99 99  chance of recovery unless you are 75+ years of age with health issues  the vaccine you do not know what is going to happen and it kills otherwise healthy people of all ages  here is another link     ,third-party
225,1395826980906536966t,"@mbach22 Nope, as I said the only strange thing is acting as if this some kind of huge fearsome thing in those age groups. Someone choosing a partner based on having or not having taken a flu vaccine would be equally strange. As would be posting on his profile that he had taken the fvac", mbach22 nope  as i said the only strange thing is acting as if this some kind of huge fearsome thing in those age groups  someone choosing a partner based on having or not having taken a flu vaccine would be equally strange  as would be posting on his profile that he had taken the fvac,primary
226,1465416007401549824t,@Channakt @MarieMyungOkLee No not New York - I live here and esp in NYC you have to show your vaccine card and mask wearing required indoors most places, channakt  mariemyungoklee no not new york   i live here and esp in nyc you have to show your vaccine card and mask wearing required indoors most places,primary
227,1395326749458710530t,"@Embezie2 @Embezie2 The Omani Ministry of Health has identified priority target groups for the COVID-19 vaccine. If you are a British national resident in Oman and fit within a priority group, please contact the Ministry of Health on 1144 for details on how to get vaccinated.", embezie2  embezie2 the omani ministry of health has identified priority target groups for the covid 19 vaccine  if you are a british national resident in oman and fit within a priority group  please contact the ministry of health on 1144 for details on how to get vaccinated ,non-reporting
228,1417200034106560523t,"@MyTwistedMind89 @incognito_nunya Yep. Had to do it at some point. As long as they are fully vaccinated, I am just like them.", mytwistedmind89  incognito nunya yep  had to do it at some point  as long as they are fully vaccinated  i am just like them ,non-reporting
229,1436330786316193793t,"@drsus16 @KTLA hhmmnn… if that’s the case, why do you have to take the flu vaccine every season, if you believe in the immunity… should you be immune to the flu by now?

Also polio transmits through food and water by the way, that 10% will likely be less than 10% as you point out.", drsus16  ktla hhmmnn  if that is the case  why do you have to take the flu vaccine every season  if you believe in the immunity  should you be immune to the flu by now     also polio transmits through food and water by the way  that 10  will likely be less than 10  as you point out ,primary
230,1455071173289517057t,@VicGovDH What’s our 12+ vaccination percentage? Isn’t that the one we should be looking at?, vicgovdh what is our 12+ vaccination percentage  is not that the one we should be looking at ,primary
231,1451576843392491545t,@thatguyrayden @AEW How? The vaccine has nothing to do with politics. Get a grip dude it’s not that deep, thatguyrayden  aew how  the vaccine has nothing to do with politics  get a grip dude it is not that deep,non-reporting
232,1424538370512932865t,@FilthyCapitali2 @PhillyD Hey just like the people who choose not to get the vaccine see we’ve come full circle, filthycapitali2  phillyd hey just like the people who choose not to get the vaccine see we have come full circle,non-reporting
233,1469245708641484800t,Alright Now Hear This !! Amtrak Is Canceling A Few Of Their Scheduling Stops  Due To The Vaccine Mandate’s  Not Enough Workers … Kill The BBB  BS Bloated Bill  …Hey I Thought  Some Of That Cash Goes Towards Transportation !!  FFaceJB.🚞🚂 https://t.co/ZSKENQcDF2,alright now hear this    amtrak is canceling a few of their scheduling stops  due to the vaccine mandate s  not enough workers   kill the bbb  bs bloated bill   hey i thought  some of that cash goes towards transportation     ffacejb  mountain railway  locomotive  ,primary
234,1437412952643149836t,"@jamesgordon4th @pawley_robert @Bebert701 @TakethatCt @BrowningNeelyn @JSAHolmes @J_EmpyreanGoals @nyob7714 @MdRisette @Nycweatherrepor @d_a_keldsen @wjack76995 @RTheatheist @thatsnotmine125 @BottomleyFiona @VeritasMarcus @TakeThatCDC @BioVisionary @BurgerLab12 @Alex_on_A14 @DEKKplans @carlsmythe @andylumm @DontMes70957787 @Jenni86587557 @SassyGirlD1 @barryjohnreid21 @SaltaoVladimir @mcfunny @WendyOrent @KayVonPaul @jhan2qt @Michell69397997 @lizditz @ChrisJohnsonMD @ghoppe @Dkingnbearjavi @RodFair2 @markmcdougall13 @ADreyzen @florida_reb @ginapro @trpdo @fredwibblington @airbagandme @UKCryptoKing247 @Kathmarval @swedishchf @Whackamole__ @NateWeymouth Vaccine side effects, for those who get them, are short term. If there were horrifically bad side effects the millions of vaccinated people would be showing them in large numbers by now.", jamesgordon4th  pawley robert  bebert701  takethatct  browningneelyn  jsaholmes  j empyreangoals  nyob7714  mdrisette  nycweatherrepor  d a keldsen  wjack76995  rtheatheist  thatsnotmine125  bottomleyfiona  veritasmarcus  takethatcdc  biovisionary  burgerlab12  alex on a14  dekkplans  carlsmythe  andylumm  dontmes70957787  jenni86587557  sassygirld1  barryjohnreid21  saltaovladimir  mcfunny  wendyorent  kayvonpaul  jhan2qt  michell69397997  lizditz  chrisjohnsonmd  ghoppe  dkingnbearjavi  rodfair2  markmcdougall13  adreyzen  florida reb  ginapro  trpdo  fredwibblington  airbagandme  ukcryptoking247  kathmarval  swedishchf  whackamole    nateweymouth vaccine side effects  for those who get them  are short term  if there were horrifically bad side effects the millions of vaccinated people would be showing them in large numbers by now ,primary
235,1459418929210687490t,@jo_moir On the upside the greater percentage of the unvaccinated in NZ are more likely not idiots and very healthy in which case we should not find ourselves in as much trouble as your vaccinated mind is hoping for., jo moir on the upside the greater percentage of the unvaccinated in nz are more likely not idiots and very healthy in which case we should not find ourselves in as much trouble as your vaccinated mind is hoping for ,third-party
236,1434541475111620611t,@KellyJe33169344 @AngelaAngelilka @NBCNews Joe Rogan is unvaxxed and Covid free while vaxxed Oscar De La hoya is in the hospital so who's really full of BS?, kellyje33169344  angelaangelilka  nbcnews joe rogan is unvaxxed and covid free while vaxxed oscar de la hoya is in the hospital so who is really full of bs ,third-party
237,1439671968501014528t,@JamesKelseyART @brat2381 @MichaelJStern1 @GovKemp My niece's father in law (a big anti vaxxer) missed his granddaughter's baptism because he was in hospital due to Covid complications.  That family told no one till one person leaked it.  They still refuse to talk about it., jameskelseyart  brat2381  michaeljstern1  govkemp my niece s father in law  a big anti vaxxer  missed his granddaughter s baptism because he was in hospital due to covid complications   that family told no one till one person leaked it   they still refuse to talk about it ,primary
238,1518920888413995011t,"@necropaulis @kennich85114224 @RedWingGrips Wtf are you talking about?? Everyone I know that’s vaccinated got Covid after. 

You’re a fucking moron. I say I’m happy with both being banned if that’s the rule but you continue to fight for only one being censored. This is why your emotional party gets laughed at as weak.", necropaulis  kennich85114224  redwinggrips wtf are you talking about   everyone i know that is vaccinated got covid after      you are a fucking moron  i say i am happy with both being banned if that is the rule but you continue to fight for only one being censored  this is why your emotional party gets laughed at as weak ,non-reporting
239,1436143780281917441t,"@takethewhitepil @GENESIS_HASH @POTUS Well, you’ll just have to imagine harder then. https://t.co/conjaQwdDK", takethewhitepil  genesis hash  potus well  you will just have to imagine harder then  ,primary
240,1462506222616199169t,"Mariah I’m vaccinated too and I can cook, clean, and sing. Just dm me your number💜 https://t.co/56J8sOBdUD",mariah i am vaccinated too and i can cook  clean  and sing  just dm me your number purple heart  ,non-reporting
241,1461549678693175298t,"@JimCanadaTrades @chrissaccoccia1 ""...three players who were unvax...""

So the team isn't 100% vaccinated?", jimcanadatrades  chrissaccoccia1     three players who were unvax        so the team is not 100  vaccinated ,primary
242,1451306874670882817t,"@BaWillu @20T202 I kind of agree with the gist of these tweets. The Irish population are in thrall to mainstream media. Mehole himself stated that vaccine passports were problematic on the grounds of civil liberties. Isn’t that all he is saying? Btw, I know him to be pro 💉.", bawillu  20t202 i kind of agree with the gist of these tweets  the irish population are in thrall to mainstream media  mehole himself stated that vaccine passports were problematic on the grounds of civil liberties  is not that all he is saying  by the way  i know him to be pro  syringe  ,non-reporting
243,1404862193225637888t,Bored now of people posting there vaccine cards 🤣 couldn’t care who’s had it tbhh,bored now of people posting there vaccine cards  rolling on the floor laughing  could not care who is had it tbhh,third-party
244,1396255690415480838t,"@annamaria1word I was going to ask the reason, then saw this. Nope, wouldn’t be comfortable. Kiddo is 50% vaccinated, we are fully, but I’m still not going to risk it. Too much at stake in our household, plus some deep personal reasons.", annamaria1word i was going to ask the reason  then saw this  nope  would not be comfortable  kiddo is 50  vaccinated  we are fully  but i am still not going to risk it  too much at stake in our household  plus some deep personal reasons ,third-party
245,1412277767429705729t,@null Leaked memo raises concerns over Sinovac vaccine's efficacy A leaked health mini  https://t.co/p9Gu6zEQeO, null leaked memo raises concerns over sinovac vaccine s efficacy a leaked health mini  ,primary
246,1445177740693475333t,"BREAKING: @Pfizer Scientists: ‘Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination’

'We’re Like Bred And Taught to be Like “Vaccine is Safer Than Actually Getting Covid”'

“Our Organization is Run on Covid Money”

#ExposePfizer https://t.co/BUFX1fIBNp",breaking   pfizer scientists   your  covid  antibodies are probably better than the  pfizer  vaccination      we are like bred and taught to be like  vaccine is safer than actually getting covid       our organization is run on covid money      exposepfizer ,third-party
247,1401539257349644292t,"@DanielFooksArt As I keep telling my woefully ignorant bretherin here in Wales, intl vax pports are out of our control. It's not the UK/Welsh govts policy that we should be vaccinated to travel abroad, it's destination countriws which insist and govt provide certification

But domestic pports...", danielfooksart as i keep telling my woefully ignorant bretherin here in wales  intl vax pports are out of our control  it is not the uk welsh govts policy that we should be vaccinated to travel abroad  it is destination countriws which insist and govt provide certification    but domestic pports   ,primary
248,1471617832043651075t,@ethanjweiss I get it. I’m vaccinated and boosted. I respect the virus but no longer fear it. For those not high risk and fully vaccinated the risk is similar to many things we do on a routine basis., ethanjweiss i get it  i am vaccinated and boosted  i respect the virus but no longer fear it  for those not high risk and fully vaccinated the risk is similar to many things we do on a routine basis ,non-reporting
249,1463436344164864001t,"Three players in one soccer game taken away because of heart attack. Can you say Covid vaccine 

https://t.co/tVqa0sjFCy",three players in one soccer game taken away because of heart attack  can you say covid vaccine     ,third-party
250,1397602884804562948t,@TAEHYUNGZERO idk if the vaccine costs you wtf why did i say this goodbye, taehyungzero i do not know if the vaccine costs you wtf why did i say this goodbye,primary
251,1437187052496465930t,"Mu is considered a VOI(Variant Of Interest). The CDC was late in calling #DeltaVariant a VOC(Variant  Of Concern), &amp; told vaccinated people to take their mask off. 🤨

COVID Mu: Everything You Need To Know About the New Coronavirus Variant – SciTechDaily https://t.co/1SexOJF2mG",mu is considered a voi variant of interest   the cdc was late in calling  deltavariant a voc variant  of concern    amp  told vaccinated people to take their mask off   face with raised eyebrow     covid mu  everything you need to know about the new coronavirus variant   scitechdaily ,non-reporting
252,1437347855627345920t,"@jsteenhuisen Decided by who? Yall forget whose vote puts yall up there.. Yall aren't gods n can't gamble with our lives this way

No to forced vaccine
No to vaccine passports", jsteenhuisen decided by who  you all forget whose vote puts you all up there   you all are not gods n cannot gamble with our lives this way    no to forced vaccine  no to vaccine passports,third-party
253,1443257297229262856t,"@josecarreras1 @RussWbrick @brohrbach I’m might as well be talking to a tree monkey right now. Nobody is taking your freedom, son. You just have to deal with the consequences of a choice not to be vaccinated. If you feel compelled to get the last word, do so quickly cause I need to block/mute you.", josecarreras1  russwbrick  brohrbach i am might as well be talking to a tree monkey right now  nobody is taking your freedom  son  you just have to deal with the consequences of a choice not to be vaccinated  if you feel compelled to get the last word  do so quickly because i need to block mute you ,non-reporting
254,1433524133862592514t,"@indepdubnrth When I see parents not bringing their children to be vaccinated, it makes me wonder at the degree of parental complicity that accompanied many decades of child abuse in Ireland?", indepdubnrth when i see parents not bringing their children to be vaccinated  it makes me wonder at the degree of parental complicity that accompanied many decades of child abuse in ireland ,non-reporting
255,1477328961571110921t,"My PCR came back negative after spending time with not one, but two people who tested positive. 

GO AND GET VACCINATED FOR FUCK’s SAKE! I am and it saved my ass!",my pcr came back negative after spending time with not one  but two people who tested positive      go and get vaccinated for fuck s sake  i am and it saved my ass ,non-reporting
256,1427086943112863752t,"💉 Today's COVID-19 Vaccine Booster Update 💉 

Visit our Vaccine page for more info: https://t.co/ue4PnUUene

#ColoradoCOVID19 #COVID19Vaccine #COVIDVaccine #CoCHCs https://t.co/UVV2CK34iI", syringe  today s covid 19 vaccine booster update  syringe      visit our vaccine page for more info       coloradocovid19  covid19vaccine  covidvaccine  cochcs ,non-reporting
257,1397504971508117506t,"Any individual who is vaccinated , he or she can only donate blood after one month.
So there is a crisis , solve it.",any individual who is vaccinated   he or she can only donate blood after one month   so there is a crisis   solve it ,primary
258,1431612738057359361t,"@PachucoPressPhD You want the vaccine? Great! You don't want the vaccine? Great! Individual medical choice must be protected. No more division between those who do, don't or are waiting.", pachucopressphd you want the vaccine  great  you do not want the vaccine  great  individual medical choice must be protected  no more division between those who do  do not or are waiting ,third-party
259,1430793252169474048t,For those who misinterpret that freedom is to remain unvaccinated! You have never considered the people working in ICUs/sick children and adults/the handicapped/your neighbours. You get vaccinated for the sake of humanity! https://t.co/rAnd5qj4vQ,for those who misinterpret that freedom is to remain unvaccinated  you have never considered the people working in icus sick children and adults the handicapped your neighbours  you get vaccinated for the sake of humanity  ,non-reporting
260,1466254012215349255t,"@mariashriver @IAmPoliticsGirl Her framing of the issue would definitely outlaw vaccine mandates, though.", mariashriver  iampoliticsgirl her framing of the issue would definitely outlaw vaccine mandates  though ,primary
261,1402742924081877000t,@JesseCox The best part is she is trying to prove how harmful vaccines are/cause magnetism.  But if that claim was true that means she got the vaccine., jessecox the best part is she is trying to prove how harmful vaccines are because magnetism   but if that claim was true that means she got the vaccine ,non-reporting
262,1515099055134851077t,"@SlapHappy666 @WinnipegJets69 @DrLeonardColdw1 Clown? What clown? The well are tested; healthy kids are made sick; the asymptomatic are lethal to vaxxed &amp; must quarantine; kids are taught to fear air, other people, their friends (basically life); TV figures are spell-casters; leaders are monsters &amp; medical pros are liars.", slaphappy666  winnipegjets69  drleonardcoldw1 clown  what clown  the well are tested  healthy kids are made sick  the asymptomatic are lethal to vaxxed  amp  must quarantine  kids are taught to fear air  other people  their friends  basically life   tv figures are spell casters  leaders are monsters  amp  medical pros are liars ,third-party
263,1397709155134283779t,"#facebook #censors content like your everyday #facist
 https://t.co/pLQOU0kJsq", facebook  censors content like your everyday  facist   ,primary
264,1430240455636275206t,COVID-19: Nigerian govt approves Sinopharm vaccine https://t.co/VpfSdpjTcD,covid 19  nigerian govt approves sinopharm vaccine ,primary
265,1408379613923921921t,"COVID vaccines pose 'very small risk' of heart complications, Ohio health experts say https://t.co/fRUBtQbvNK #Ohio #COVID19 https://t.co/rm2apBE75j",covid vaccines pose  very small risk  of heart complications  ohio health experts say   ohio  covid19 ,primary
266,1395480666297536519t,The World’s Most Vaccinated Arena https://t.co/bWtCoXJWwL,the world s most vaccinated arena ,primary
267,1428005641944195086t,@egaly All I heard was the vaccine has nothing to do with preventing Covid., egaly all i heard was the vaccine has nothing to do with preventing covid ,primary
268,1428769417882648581t,"New CDC Data Confirms The Efficacy Of The Vaccine Is DROPPING, Boosters ... https://t.co/DHmrYnlS9H via @YouTube",new cdc data confirms the efficacy of the vaccine is dropping  boosters      via  youtube,non-reporting
269,1427237166447484929t,"⁦@ChronOpinion⁩ ⁦@HoustonChron⁩

Please fix typo: “shot, , though” https://t.co/ZUE1RkjuDT",  chronopinion    houstonchron     please fix typo   shot    though  ,primary
270,1485993608448811009t,"Former WHO VP’s Jab Warning: “The VACCINATED Should Be Isolated”
#VaccineSideEffects #CoronaPositive #COVID19 #BoosterDose 
https://t.co/Tg6d95aEJD",former who vp s jab warning   the vaccinated should be isolated    vaccinesideeffects  coronapositive  covid19  boosterdose   ,third-party
271,1481405267971506178t,"@ChrisRafferty Yes, but was fully vaxxed so it was a very mild case (thank goodness)!", chrisrafferty yes  but was fully vaxxed so it was a very mild case  thank goodness  ,non-reporting
272,1420080359086166020t,@clairemawisa @RobForbesDJ Stop forcing people to get vaccinated. If you wanna get vaccinated good for you. But let other choose what they wanna do., clairemawisa  robforbesdj stop forcing people to get vaccinated  if you want to get vaccinated good for you  but let other choose what they want to do ,third-party
273,1467709890936324097t,"@trope3 @TheRightMelissa ""Double Vaccinated""... makes no sense. You're simply ""Vaccinated. """, trope3  therightmelissa  double vaccinated     makes no sense  you are simply  vaccinated   ,third-party
274,1445371850343714826t,"It’s not a secret that natural immunity provides stronger protection vs a vaccine. It is the fact that you get protection from the virus, you are less likely to pass it on, and less likely to fucking die if you get the vaccine.",it is not a secret that natural immunity provides stronger protection vs a vaccine  it is the fact that you get protection from the virus  you are less likely to pass it on  and less likely to fucking die if you get the vaccine ,non-reporting
275,1421056079031582720t,"@GOPLeader Just to be clear. People who understand how viruses actually work and the percentages of people who are actually vaccinated, are STILL wearing masks. 

But you keep denying reality there Leader Sparky. It has continued to work for you so ""well.""", gopleader just to be clear  people who understand how viruses actually work and the percentages of people who are actually vaccinated  are still wearing masks      but you keep denying reality there leader sparky  it has continued to work for you so  well  ,non-reporting
276,1441498822564323330t,"There is a looming shortage of ER  physicians due to vaccine mandate. This means you likely to see a nurse practitioner.  They have a BSN wit 18 months of additional training for a masters degree, some have a phd so they can claim to be a doctor.",there is a looming shortage of er  physicians due to vaccine mandate  this means you likely to see a nurse practitioner   they have a bsn wit 18 months of additional training for a masters degree  some have a phd so they can claim to be a doctor ,primary
277,1493624280051236864t,"phased out? I dunno how it is over there but its in full swing hell hole over here Dev, Western Australia has become a joke on people being forced to be vaxxed or not being able to leave your house if you even have one left https://t.co/8KALgX1RE3",phased out  i do not know how it is over there but its in full swing hell hole over here dev  western australia has become a joke on people being forced to be vaxxed or not being able to leave your house if you even have one left ,third-party
278,1453981348092268550t,"""A Saudi conference’s organizers stay mum on an official’s sudden absence, but some attendees blame Covid."" by BY KATE KELLY via NYT New York Times https://t.co/Y4EiDROtDv", a saudi conference s organizers stay mum on an official s sudden absence  but some attendees blame covid   by by kate kelly via nyt new york times ,primary
279,1410539764038598664t,@lt_chill I hope she wasn’t positive?? Why isn’t a Health Worker already vaccinated, lt chill i hope she was not positive   why is not a health worker already vaccinated,primary
280,1509096347143712778t,@joshjay1969 The same guy who didn’t even flinch when vaccine passports were on the cards., joshjay1969 the same guy who did not even flinch when vaccine passports were on the cards ,primary
281,1459630473307586564t,@parkdupark @ronsullivan @mhdksafa @WarwickHunt4 That’s not true. Vaccination reduces the odds of infection (about 70% I think) and has a shorter period with a viral load. Studies also suggest the viral loads are not equally infectious., parkdupark  ronsullivan  mhdksafa  warwickhunt4 that is not true  vaccination reduces the odds of infection  about 70  i think  and has a shorter period with a viral load  studies also suggest the viral loads are not equally infectious ,non-reporting
282,1513189768561147911t,"@factode305 @WeRone777 @NickT4000 @whykeepitup @mr_raiderMD @CovidLarry @SpyVsSpy20 @Iron_Mechanic @BreezerGalway @OTURISK @AshTFE @KPCResearch @EastYorksTony @IainMulady @bitcheswitches5 @GreatRegretCA @RagToo @Truth_in_Number @ATInsider @g_ballew @SwordtheChemist @philippapotts @radke_4 @stephan19573 @nevercunninplan @marcush87747500 @judysimpson222 @Nemeses667 @PrezJoeyB @AntonyGoodman5 @SirGorden @Sharky_vs_Evil @WaitingForPerot @Angelaisawake @Angelanashville @SwaledaleMutton @Lizzy_Lang7 @1Geofferson82 @badboyntx @tigresseleanor @JujuliaGrace @Natasha_KC1 @KrochetxKorner @jimbonail @Captain_EyebaII South Africa

Who had the most Covid-19 deaths per 100,000? -- the affluent.

Who is the least vaccinated? -- the affluent.

Which Hospitals had the most Hospitalised? -- Private

Who objected to NPIs? -- the affluent

Who blamed the poor for our lockdowns? -- the affluent.", factode305  werone777  nickt4000  whykeepitup  mr raidermd  covidlarry  spyvsspy20  iron mechanic  breezergalway  oturisk  ashtfe  kpcresearch  eastyorkstony  iainmulady  bitcheswitches5  greatregretca  ragtoo  truth in number  atinsider  g ballew  swordthechemist  philippapotts  radke 4  stephan19573  nevercunninplan  marcush87747500  judysimpson222  nemeses667  prezjoeyb  antonygoodman5  sirgorden  sharky vs evil  waitingforperot  angelaisawake  angelanashville  swaledalemutton  lizzy lang7  1geofferson82  badboyntx  tigresseleanor  jujuliagrace  natasha kc1  krochetxkorner  jimbonail  captain eyebaii south africa    who had the most covid 19 deaths per 100 000     the affluent     who is the least vaccinated     the affluent     which hospitals had the most hospitalised     private    who objected to npis     the affluent    who blamed the poor for our lockdowns     the affluent ,primary
283,1459971798146195471t,@GovKathyHochul You are lying. Vaccinated still transmit the virus and get infected., govkathyhochul you are lying  vaccinated still transmit the virus and get infected ,third-party
284,1422401840914870276t,The U.S. still has not hit the administration's other goal of fully vaccinating 165 million American adults by July 4. https://t.co/PVW1ojyjXH,the you s  still has not hit the administration s other goal of fully vaccinating 165 million american adults by july 4  ,primary
285,1429828029954592768t,"This is such an extreme and ridiculous position that undermines the credibility of calls for actual, reasonable mitigation measures. There’s literally a vaccine, just vaccinate them https://t.co/TfBG4PMu9m",this is such an extreme and ridiculous position that undermines the credibility of calls for actual  reasonable mitigation measures  there is literally a vaccine  just vaccinate them ,non-reporting
