,id,tweet,tweet_cleaned,ypred,ypred_cat,pred
83,1325712626970714113t,In this week's Healthtech Pigeon 🐦...  🤖 X has been quietly working on an experimental project to monitor symptoms of depression 🦠 AI detects asymptomatic Covid-19 infections through cellphone-recorded coughs ⚔️ Covid-19 will be a VC slayer,in this week s healthtech pigeon  bird       robot  x has been quietly working on an experimental project to monitor symptoms of depression  microbe  ai detects asymptomatic covid 19 infections through cellphone recorded coughs  crossed swords  covid 19 will be a vc slayer,0,0,non-reporting
84,1279071742644887555t,"@maddow Many people still believe that Covid-19 is not much worse than a common cold. So when they start come down with symptoms they ignore them. Then later, when they start having breathing problems they decide they'd better get a test. Such people comprise most of the 28%.", maddow many people still believe that covid 19 is not much worse than a common cold  so when they start come down with symptoms they ignore them  then later  when they start having breathing problems they decide they would better get a test  such people comprise most of the 28  ,0,0,non-reporting
85,1319058704386371586t,"If you put an entire student body, hormones raging and who have cabin fever, back on campus, might as well rename hampton university to covidland.   it takes more that COVID guidelines for us to be safe. it also takes ✨active participation✨ from the student on the guidelines.",if you put an entire student body  hormones raging and who have cabin fever  back on campus  might as well rename hampton university to covidland    it takes more that covid guidelines for us to be safe  it also takes  sparkles active participation sparkles  from the student on the guidelines ,0,0,non-reporting
86,1241719715338190848t,"sample and send it for testing to jamshedpur center.The doctors hv completely refused to acknowledge the situation that a person can have covid-19 ,even when I have shown them that I have fever. Can the pppl of jharkhand expect some proactiveness for medical facility from you ?",sample and send it for testing to jamshedpur center the doctors hv completely refused to acknowledge the situation that a person can have covid 19  even when i have shown them that i have fever  can the pppl of jharkhand expect some proactiveness for medical facility from you  ,2,2,primary
87,1321491800213782529t,definitely walked out of work cause I convinced myself I had covid when all I had was horrible horrible diarrhea. as self punishment I have changed my twitter name at rae's recommendation,definitely walked out of work because i convinced myself i had covid when all i had was horrible horrible diarrhea  as self punishment i have changed my twitter name at rae s recommendation,2,2,primary
88,1272046245087981569t,@CleClinicMD The reason of death in the 2nd case might be Covid based nerve 9 and/or 10 nucleus involvement. Many cases with Covid suffer from anosmia with unknown reason. Olfactorius might be the reason. Postmortem brain and cranial nerve studies must be focused on..., cleclinicmd the reason of death in the 2nd case might be covid based nerve 9 and or 10 nucleus involvement  many cases with covid suffer from anosmia with unknown reason  olfactorius might be the reason  postmortem brain and cranial nerve studies must be focused on   ,0,0,non-reporting
89,1266450169341583360t,@ChrisCuomo Come on Cuomo you know how the justice system works.  In this case it's working so far.  Stop trying to start something.  You sounds almost as ridiculous as the stories you make up. **Cough** having Covid 19, chriscuomo come on cuomo you know how the justice system works   in this case it is working so far   stop trying to start something   you sounds almost as ridiculous as the stories you make up    cough   having covid 19,0,0,non-reporting
90,1256515219658100736t,Corona Virus Symptoms Basically are The Same Feelings You Get When Your Wife  is Checking Your Phone...  -Difficulty In Breathing -Sweating Profusely -Weakness -Headache -Stomach Ache  And when you are asked a question the dry cough starts...😁😁😁,corona virus symptoms basically are the same feelings you get when your wife  is checking your phone      difficulty in breathing  sweating profusely  weakness  headache  stomach ache  and when you are asked a question the dry cough starts    beaming face with smiling eyes  beaming face with smiling eyes  beaming face with smiling eyes ,0,0,non-reporting
91,1296750539200397312t,I don’t want to be that dramatic person but I’ve literally never felt this sick in my life. I get COVID tested today. I genuinely feel worse than when I had mono and strep at the same time and had a 104+ fever. I can barely get out of bed my body hurts so bad 😭,i do not want to be that dramatic person but i have literally never felt this sick in my life  i get covid tested today  i genuinely feel worse than when i had mono and strep at the same time and had a 104+ fever  i can barely get out of bed my body hurts so bad  loudly crying face ,2,2,primary
92,1237634024371355648t,"Covid - 19 is absolutely terrifying. I don’t care if you think it is or not please wash your hands, cover your mouth when you cough and sneeze, etc. for those around you who may not be strong enough to fight this illness. Please.",covid   19 is absolutely terrifying  i do not care if you think it is or not please wash your hands  cover your mouth when you cough and sneeze  etc  for those around you who may not be strong enough to fight this illness  please ,0,0,non-reporting
93,1260058106870054913t,"Not saying Frank Vascellaro @frankieVWCCO has Covid, but today on the news he said something to the effect of "". . . there shouldn't be problems for anyone who isn't symptomatic. *CoUgH* Pardon me. . . ."" LOL Keep up the good work Frank! 👍",not saying frank vascellaro  frankievwcco has covid  but today on the news he said something to the effect of        there should not be problems for anyone who is not symptomatic   cough  pardon me         lol keep up the good work frank   thumbs up ,1,1,third-party
94,1255157587659624449t,"Hand hygiene is the key of good health. Kindly like, comment and share.   https://t.co/XSL6DV6nr8 #hand_washing #hygiene #COVID_19 #typhoid #cholera #diarrhea #personel_hygiene #drsyedasadafakber #inourhands   https://t.co/huBaHJtCCl",hand hygiene is the key of good health  kindly like  comment and share      hand washing  hygiene  covid 19  typhoid  cholera  diarrhea  personel hygiene  drsyedasadafakber  inourhands   ,0,0,non-reporting
95,1253497232990572545t,A failure for Scheer as leader: using a pandemic as an excuse to launch racist attacks is despicable. Scheer's failure to condemn Sloan's words reflects weakness &amp; unwillingness to take a stand as this racist rant distracts from COVID-19 recovery efforts.  https://t.co/I4KGWjpwHG,a failure for scheer as leader  using a pandemic as an excuse to launch racist attacks is despicable  scheer s failure to condemn sloan s words reflects weakness  amp  unwillingness to take a stand as this racist rant distracts from covid 19 recovery efforts   ,0,0,non-reporting
96,1261320883974500352t,"@RedFizo1 @AnandWrites It's not even about ""cool"" vs ""uncool"" or a ""sign of weakness""  I stopped giving a crap a long time ago when I realized we're being lied to about numbers  Feds give money based on number of COVID deaths, so the states lie on death reports saying they're all from Chinese Plague", redfizo1  anandwrites it is not even about  cool  vs  uncool  or a  sign of weakness   i stopped giving a crap a long time ago when i realized we are being lied to about numbers  feds give money based on number of covid deaths  so the states lie on death reports saying they are all from chinese plague,0,0,non-reporting
97,1299397624156520448t,"@_TheOddBeauty I don’t think i do but my allergies started getting worst. Pressure on the face, headaches, low grade fever, etc. I told my doctor about it this morning and they called me back to come in for drive thru COVID testing and I assume if negative they will test for sinus infection.",  theoddbeauty i do not think i do but my allergies started getting worst  pressure on the face  headaches  low grade fever  etc  i told my doctor about it this morning and they called me back to come in for drive thru covid testing and i assume if negative they will test for sinus infection ,2,2,primary
98,1247319196519804935t,Coronavirus fact check: Could your December cough have been COVID-19?  https://t.co/gApAldQihW,coronavirus fact check  could your december cough have been covid 19   ,0,0,non-reporting
99,1302207827709227008t,"We have been seeing patients who were fit and well but had COVID-19 months ago and have since had respiratory issues, systemic inflammation, joint pain, extreme fatigue and other residual symptoms.  This disease is not a joke and safety measures are not a political position.",we have been seeing patients who were fit and well but had covid 19 months ago and have since had respiratory issues  systemic inflammation  joint pain  extreme fatigue and other residual symptoms   this disease is not a joke and safety measures are not a political position ,1,1,third-party
100,1241051250507964416t,@iyrahisham_ Ada kita baca somewhere he actually already had developed flu &amp; slight fever masa balik dari Korea before joining the tabligh. Supposedly he should already alert about covid-19 symptoms and stay at home just in case. Haih..  https://t.co/itjTddPRxk, iyrahisham  ada kita baca somewhere he actually already had developed flu  amp  slight fever masa balik dari korea before joining the tabligh  supposedly he should already alert about covid 19 symptoms and stay at home just in case  haih    ,1,1,third-party
101,1313535685463334913t,@atrupar @RudyGiuliani has the  #Covid_19 cough the stuped testing they used is flawed Everyone under trump amin is a high risk and should not even be on tv  I think feds need to take control of whitehouse and quarantine all mention no mask and coughed and spread germs all over desk etc., atrupar  rudygiuliani has the   covid 19 cough the stuped testing they used is flawed everyone under trump amin is a high risk and should not even be on tv  i think feds need to take control of whitehouse and quarantine all mention no mask and coughed and spread germs all over desk etc ,1,1,third-party
102,1289693256066842624t,"My COVID-19 nightmare continues.  After 2 weeks at home recovering, I thought, I awoke at 2:30AM with a crushing headache.  My pulse ox was in the 65-75 range and my brain was screaming for O.  I was readmitted to Delray Medical Center. 1/2",my covid 19 nightmare continues   after 2 weeks at home recovering  i thought  i awoke at 2 30am with a crushing headache   my pulse ox was in the 65 75 range and my brain was screaming for o   i was readmitted to delray medical center  1 2,2,2,primary
103,1332736850855940099t,Chesh's covid test came back positive today which means the cough I've had the past few days is probably not a good sign...,chesh s covid test came back positive today which means the cough i have had the past few days is probably not a good sign   ,3,3,secondary
104,1306036336172896256t,"“He reported that he was suffering from a “mild cough, congestion and nausea” and had previously tested negative for COVID-19, the Bureau of Prisons said. But Hocutt tested positive on Monday after he alerted medical staff to his condition and was pronounced dead the same day.”", he reported that he was suffering from a  mild cough  congestion and nausea  and had previously tested negative for covid 19  the bureau of prisons said  but hocutt tested positive on monday after he alerted medical staff to his condition and was pronounced dead the same day  ,1,1,third-party
105,1278523355084345344t,I got my test back today saying I’m negative for Covid but the second I have a small cough I’m like COVID.,i got my test back today saying i am negative for covid but the second i have a small cough i am like covid ,2,2,primary
106,1304565146799476737t,"@bartlett_kate I never said it wasn’t, but so is COVID. Play a “what if” scenario in your head if they weren’t in lockdown. The whole country would be effected. This is little pain for the greater good", bartlett kate i never said it was not  but so is covid  play a  what if  scenario in your head if they were not in lockdown  the whole country would be effected  this is little pain for the greater good,0,0,non-reporting
107,1245272176007286784t,"I found out a helpful thing about covid! Basicaly, beside symptoms like fever, shortness of breath and cough, there is another interesting symptom which is a numbed taste of salty and sweet. My mom's co worker read about it and thanks to the info she found out + got tested.",i found out a helpful thing about covid  basicaly  beside symptoms like fever  shortness of breath and cough  there is another interesting symptom which is a numbed taste of salty and sweet  my mom s co worker read about it and thanks to the info she found out + got tested ,3,3,secondary
108,1277366174108594177t,@iam_johnw whatever her diagnosis.. if she has a breathing problem she should know covid is respiratory and could end her life., iam johnw whatever her diagnosis   if she has a breathing problem she should know covid is respiratory and could end her life ,1,1,third-party
109,1241691011220463622t,5 things to help stop the spread of coronavirus The @WHO is advising people to follow 5 simple steps to help prevent the spread of COVID-19  1.Wash your hands 2.Cough/sneeze into your elbow 3.Don't touch your face 4.Stay more than 3ft away from others 5.Stay home if you feel sick  https://t.co/iVIfmy0txq,5 things to help stop the spread of coronavirus the  who is advising people to follow 5 simple steps to help prevent the spread of covid 19  1 wash your hands 2 cough sneeze into your elbow 3 do not touch your face 4 stay more than 3ft away from others 5 stay home if you feel sick  ,0,0,non-reporting
110,1308470595915571201t,"Covid-19 is a gigantic scary headache. The people struggling to make sense of it and this new reality are not headaches. Try to remember that everyone is doing the best they can. Staff, parents, students... we all need some grace right now. Hang in there - we're in it together.",covid 19 is a gigantic scary headache  the people struggling to make sense of it and this new reality are not headaches  try to remember that everyone is doing the best they can  staff  parents  students    we all need some grace right now  hang in there   we are in it together ,0,0,non-reporting
111,1240638219621928961t,"This is definitely how they'll catch corona , all that struggle to get in, coughs and sneezes will be flying about. boii",this is definitely how they will catch corona   all that struggle to get in  coughs and sneezes will be flying about  boii,0,0,non-reporting
112,1242617084133212165t,Heres my Tuesday: ✅ Wake up with Body aches ✅ Start running fever ✅ Call doc but cant get tested because i am not high risk and not enough tests ✅ Assume its Covid now Quarantined to a bedroom with no human contact for 7 to 14 days  Hope yall's is going better,here is my tuesday   check mark button  wake up with body aches  check mark button  start running fever  check mark button  call doc but cannot get tested because i am not high risk and not enough tests  check mark button  assume its covid now quarantined to a bedroom with no human contact for 7 to 14 days  hope you all s is going better,2,2,primary
113,1318425485790138370t,@johnroshan The biggest joke in this entire circus is the thermal scanner. As if everything with COVID-19 is running with fever.  https://t.co/w12ovwdSas, johnroshan the biggest joke in this entire circus is the thermal scanner  as if everything with covid 19 is running with fever   ,0,0,non-reporting
114,1239915198795915265t,"So, I have a cold. Have had one since Sunday night. It's only an itchy throat and, just today, a mild headache. No cough, fever, or shortness of breath like all the reports say. I still think it's just a cold, but... I guess those with COVID-19 thought the same.",so  i have a cold  have had one since sunday night  it is only an itchy throat and  just today  a mild headache  no cough  fever  or shortness of breath like all the reports say  i still think it is just a cold  but    i guess those with covid 19 thought the same ,2,2,primary
115,1282119392998731776t,reminds me the time i went clubbing for the first time on late feb (so no lockdown yet but covid is already a headline) and i woke up next day with headache + clogged nose + itchy throat + no voice 💀 thought i'm gonna die,reminds me the time i went clubbing for the first time on late feb  so no lockdown yet but covid is already a headline  and i woke up next day with headache + clogged nose + itchy throat + no voice  skull  thought i am going to die,2,2,primary
116,1269001591383822336t,Covid-19 and 6/6 revolution #COVIDー19 #كورونا #لبنان_ينتفض Studies showed that around 50% to 60% of covid 19 patients are asymptomatic  And one cough or sneeze from an infected person can spread virus droplets upto 1 meter. (1/5),covid 19 and 6 6 revolution  covid 19                      studies showed that around 50  to 60  of covid 19 patients are asymptomatic  and one cough or sneeze from an infected person can spread virus droplets upto 1 meter   1 5 ,0,0,non-reporting
117,1242433604745138178t,@bucheonsbabe So in the end i stop watching the news and distance myself from social media a little. In the end if you get a fever or breathing problems then go to the doctor if not is probably not covid., bucheonsbabe so in the end i stop watching the news and distance myself from social media a little  in the end if you get a fever or breathing problems then go to the doctor if not is probably not covid ,0,0,non-reporting
118,1291000589585850368t,"@HillsboroughSch If a student (K-12) intentionally coughs on a fellow student or teacher, is that assault?  Without real-time or ANY covid testing, their asymptomatic bodies are now potential deadly weapons. @T_Shamburger @KarenPerezTampa @HillsboroughCTA", hillsboroughsch if a student  k 12  intentionally coughs on a fellow student or teacher  is that assault   without real time or any covid testing  their asymptomatic bodies are now potential deadly weapons   t shamburger  karenpereztampa  hillsboroughcta,0,0,non-reporting
119,1318635314395701249t,First lady Melania Trump will not travel to PA rally due to ‘lingering cough’ after COVID battle  https://t.co/8ElQyAd6TQ,first lady melania trump will not travel to pa rally due to  lingering cough  after covid battle  ,1,1,third-party
120,1304992291820462080t,"@AngrierWHStaff Has an air purifier that vents directly into his face. He’s still coughing and short of breath. I feel like I’m watching him die. If he got Covid? He would die, almost certainly.", angrierwhstaff has an air purifier that vents directly into his face  he is still coughing and short of breath  i feel like i am watching him die  if he got covid  he would die  almost certainly ,3,3,secondary
121,1296091314044514306t,"Boss told me my co worker aint coming in.Covid symptoms(vomiting, headache and upset stomach).Aint gonna tell him every morning nigga smells like Budweiser.",boss told me my co worker are not coming in covid symptoms vomiting  headache and upset stomach  are not going to tell him every morning nigga smells like budweiser ,3,3,secondary
122,1283568632459649025t,i got really randomly weak and started having body aches and chills and am running a fever please please please pray to whatever higher power you believe in that i DONT have covid,i got really randomly weak and started having body aches and chills and am running a fever please please please pray to whatever higher power you believe in that i do not have covid,2,2,primary
123,1248090891593506816t,"@johnepattison Here in Yakima, WA, as far as I've seen the only symptom that gets a COVID-19 test is fever. You can have everything else, but unless you have a fever, you don't get a test. Not saying that's what it is, but if you're contemplating key symptoms...", johnepattison here in yakima  wa  as far as i have seen the only symptom that gets a covid 19 test is fever  you can have everything else  but unless you have a fever  you do not get a test  not saying that is what it is  but if you are contemplating key symptoms   ,0,0,non-reporting
124,1246189343305355271t,"@ChrisCuomo When my friend got H1N1, she ended up in ICU on a ventilator for 2 weeks.  When I got H1N1, I drank 1 gallon of H20 daily and 10,000 mg Vit C, fever only lasted 4 days. Both late 20's at time,no pre-existing conditions. I know Covid isn't H1N1, but water and Vit C can't hurt.", chriscuomo when my friend got h1n1  she ended up in icu on a ventilator for 2 weeks   when i got h1n1  i drank 1 gallon of h20 daily and 10 000 mg vit c  fever only lasted 4 days  both late 20 s at time no pre existing conditions  i know covid is not h1n1  but water and vit c cannot hurt ,3,3,secondary
125,1313590346115362826t,"Received confirmation of a positive Covid test yesterday. Not shocked as the family member I was caring for received a positive mid-last week. Let me tell you, the fatigue and headache with this crap suuuucks.",received confirmation of a positive covid test yesterday  not shocked as the family member i was caring for received a positive mid last week  let me tell you  the fatigue and headache with this crap suuuucks ,2,2,primary
126,1286101717772201985t,"migraines. They are just getting worse and due to Covid I haven't been able to get in to a doctors office in months. I'm in a constant state of pain and dizziness that I can't seem to shake without ignoring my kids and laying in a dark room, which i obviously cant do.  5/8",migraines  they are just getting worse and due to covid i have not been able to get in to a doctors office in months  i am in a constant state of pain and dizziness that i cannot seem to shake without ignoring my kids and laying in a dark room  which i obviously cannot do   5 8,2,2,primary
127,1284757607530393601t,"Swollen eyes   Blood clots   Seizures   Liver damage   Kidney damage   Rash   COVID toes (weird, right?) ""People testing positive for COVID-19 have been documented to be sick even after 60 days. Many people are sick for weeks, get better, and then experience a rapid and sudden",swollen eyes   blood clots   seizures   liver damage   kidney damage   rash   covid toes  weird  right    people testing positive for covid 19 have been documented to be sick even after 60 days  many people are sick for weeks  get better  and then experience a rapid and sudden,0,0,non-reporting
128,1293765873996423169t,THE TRUTH ABOUT COVID-19 CONT'D PREVENTION How do we prevent transmission of the virus? It's important to stay home if you're feeling unwell and to call a hotline or medical professional but if you have a fever…  https://t.co/d8No8NhEFa,the truth about covid 19 cont d prevention how do we prevent transmission of the virus  it is important to stay home if you are feeling unwell and to call a hotline or medical professional but if you have a fever   ,0,0,non-reporting
129,1276272946240278530t,"@HazelT76 Lol. This is the worst mine has been in years, and by years I mean decades 😏 I've started wearing my covid face mask 😷 for hay fever shielding 😂", hazelt76 lol  this is the worst mine has been in years  and by years i mean decades  smirking face  i have started wearing my covid face mask  face with medical mask  for hay fever shielding  face with tears of joy ,2,2,primary
130,1288143726762766336t,"@MrBill11 My uncle died on Thursday in Boca from Covid. Cough on Sunday, died on Thursday. Wear a mask.", mrbill11 my uncle died on thursday in boca from covid  cough on sunday  died on thursday  wear a mask ,3,3,secondary
131,1320861470754656257t,"@Derek15245198 @BoiseSparky @GovernorLittle I work at a restaurant. A customer doesn’t believe wearing masks help slowing the spreading, so he had a party and got Covid-19 a month ago. Guess what he says now? Just like trump, I am immune. Even he coughs and has problems breathing.", derek15245198  boisesparky  governorlittle i work at a restaurant  a customer does not believe wearing masks help slowing the spreading  so he had a party and got covid 19 a month ago  guess what he says now  just like trump  i am immune  even he coughs and has problems breathing ,1,1,third-party
132,1267031888532844548t,Oh joy.. it’s the “is it hay fever or is it corona virus” season.,oh joy   it is the  is it hay fever or is it corona virus  season ,0,0,non-reporting
133,1237667960451293184t,uh oh ya boi gotta sore throat the corona virus got me ggs boys,uh oh ya boi got to sore throat the corona virus got me ggs boys,2,2,primary
134,1246215663137382401t,"Also me: man, my house is cold. OH NO! DO I HAVE THE CHILLS!? IS THIS A FEVER!? DO I HAVE COVID!? Oh... just the weather.... my b.",also me  man  my house is cold  oh no  do i have the chills   is this a fever   do i have covid   oh    just the weather     my b ,2,2,primary
135,1305914797049905154t,"So much for distancing and bubbles in schools , after six months with no coughs , colds , sickness or stomach virus my kids have colds after exactly five days back in education ! #Covid_19",so much for distancing and bubbles in schools   after six months with no coughs   colds   sickness or stomach virus my kids have colds after exactly five days back in education    covid 19,3,3,secondary
136,1256825476317757440t,So one of the house maids got fever and she keeps going to the hospital for daialysis and we might have corona in the house,so one of the house maids got fever and she keeps going to the hospital for daialysis and we might have corona in the house,3,3,secondary
137,1240101921844649985t,"India can fight corona Ask the pharmacies to report any person asking for medicines for cough, cold etc. It can help trace unreported cases &amp; curb community transmission. They are already asking for contact details &amp; name. @mygovindia @mygovMaha #IndiaFightsCorona #covidindia",india can fight corona ask the pharmacies to report any person asking for medicines for cough  cold etc  it can help trace unreported cases  amp  curb community transmission  they are already asking for contact details  amp  name   mygovindia  mygovmaha  indiafightscorona  covidindia,0,0,non-reporting
138,1275909052351033344t,"@cjtruth @GODandCountry33 If a person is tests positivite for COVID, how is that a hoax?  If I go to the doctor with a sore throat and test positive for lung cancer is that a hoax, too?  Should I not be counted among those with lung cancer?", cjtruth  godandcountry33 if a person is tests positivite for covid  how is that a hoax   if i go to the doctor with a sore throat and test positive for lung cancer is that a hoax  too   should i not be counted among those with lung cancer ,0,0,non-reporting
139,1267585663840464896t,"Still recovering. Ugh! I feel better, but weakness doesn't seem to be going away. If this is only a related corona virus, I'd hate to find what covid is like.",still recovering  ugh  i feel better  but weakness does not seem to be going away  if this is only a related corona virus  i would hate to find what covid is like ,2,2,primary
140,1276387870346022913t,"A lot of patients with really damaged lungs after covid recovery, short of breath with little effort. Would hate that for our college athletes.",a lot of patients with really damaged lungs after covid recovery  short of breath with little effort  would hate that for our college athletes ,0,0,non-reporting
141,1271561963148099584t,@The_Nenye People are having symptoms of covid 19 and they're all saying it's malaria. Loss ot taste and smell is a symptom of covid-19, the nenye people are having symptoms of covid 19 and they are all saying it is malaria  loss ot taste and smell is a symptom of covid 19,0,0,non-reporting
142,1333081880447488000t,"@bahotzada magar issue to fever ka h na,  corona pd me no hugging 🥺", bahotzada magar issue to fever ka h na   corona pd me no hugging  pleading face ,0,0,non-reporting
143,1260225888333029376t,Ugh still a little dizzy today. Better than yesterday though. Glad it’s not covid symptoms I guess? 😖  I’ll try to complete the orders I couldn’t do yesterday &amp; I think that’s it for work for me. I wanted to submit more Cowboy Bebop concepts but I think that’s gotta be tomorrow,ugh still a little dizzy today  better than yesterday though  glad it is not covid symptoms i guess   confounded face   i will try to complete the orders i could not do yesterday  amp  i think that is it for work for me  i wanted to submit more cowboy bebop concepts but i think that is got to be tomorrow,2,2,primary
144,1256197702913855488t,"@narendramodi @GovernmentRF As per new symptoms of  #Covid_19  patients are now diagnosed with Anosmia , Ageusia  and Dysgeasia .", narendramodi  governmentrf as per new symptoms of   covid 19  patients are now diagnosed with anosmia   ageusia  and dysgeasia  ,0,0,non-reporting
145,1316186030526132225t,"@ThorHjorth Flu = mild headache, fever, painful joints, irritated glands, coughing/sneezing.  Corona = fever, fatigue, dry cough, respiratory problems, short of breath, loss of taste/smell.", thorhjorth flu   mild headache  fever  painful joints  irritated glands  coughing sneezing   corona   fever  fatigue  dry cough  respiratory problems  short of breath  loss of taste smell ,0,0,non-reporting
146,1243543049222979587t,'She just had a cough': Teen's COVID-19 death shakes France -  https://t.co/P5V3YIZ8b3, she just had a cough   teen s covid 19 death shakes france    ,1,1,third-party
147,1302265640288485376t,"bye my flatmate jsut came home from work and was like “i think i’m coming down with something” and i was like omg what, is it corona and he jst went “no it’s a case of saturday night fever” . i hate him",bye my flatmate jsut came home from work and was like  i think i am coming down with something  and i was like omg what  is it corona and he jst went  no it is a case of saturday night fever    i hate him,3,3,secondary
148,1319443840714088449t,"@ProjectLincoln @TheRickWilson @TaraSetmayer @gtconway3d Melania Trump has lingering cough (oct 20) from COVID-19, Barron had coronavirus (oct. 15), does the debate matters? will there be plexiglass covers?  Since the first debate, was Trump deliberately trying to kill Biden while sickening him?   https://t.co/S64dCcLlCb", projectlincoln  therickwilson  tarasetmayer  gtconway3d melania trump has lingering cough  oct 20  from covid 19  barron had coronavirus  october 15   does the debate matters  will there be plexiglass covers   since the first debate  was trump deliberately trying to kill biden while sickening him    ,1,1,third-party
149,1314228396038160385t,@pleasexplainMrI Conjunctivitis is also an accompanying symptom of COVID-19, pleasexplainmri conjunctivitis is also an accompanying symptom of covid 19,0,0,non-reporting
150,1297792565337403392t,This happened in cooper hospital..  Where the patient was admitted for fever then doc gave him a injection n he expires in 30 mins ..  After that hospital tells them he was a Covid positive!   We don't trust them anymore  #CBIGrillCooperDoctors     https://t.co/jiQ1TTLnbn,this happened in cooper hospital    where the patient was admitted for fever then doc gave him a injection n he expires in 30 mins     after that hospital tells them he was a covid positive    we do not trust them anymore   cbigrillcooperdoctors     ,1,1,third-party
151,1247599853372391425t,"“fever dream high in the quiet of the night, you know that I caught it”  a Taylor pegou covid uns 4 meses antes de toda a população", fever dream high in the quiet of the night  you know that i caught it   a taylor pegou covid uns 4 meses antes de toda a popula  o,2,2,primary
152,1237084901515632640t,@chloe_hime7 @astrolul @awhnutss Ik I wish I had thicker eyebrows  😢 But your buggin on that hairline wanna see a pic I’m not scared to show myself *cough cough * ah shit I think I’ve got corona  https://t.co/MizwDIqb35, chloe hime7  astrolul  awhnutss ik i wish i had thicker eyebrows   crying face  but your buggin on that hairline want to see a pic i am not scared to show myself  cough cough   ah shit i think i have got corona  ,2,2,primary
153,1234023789400190977t,"Thailand Confirms First Covid-19 Death, Victim Also Had Dengue Fever &amp; Multiple Organ Failure    https://t.co/K4pOhr1312",thailand confirms first covid 19 death  victim also had dengue fever  amp  multiple organ failure    ,1,1,third-party
154,1249632198115950593t,"@holly_bourneYA @JasonArnopp Great thread, really similar to us except we had the punctured lung breathlessness, thankfully no fever. Smell is almost 100% back, Vicks Vaporub was our tester! Here's my experience of Corona thread.  https://t.co/tvxa2wMEZu", holly bourneya  jasonarnopp great thread  really similar to us except we had the punctured lung breathlessness  thankfully no fever  smell is almost 100  back  vicks vaporub was our tester  here is my experience of corona thread   ,2,2,primary
155,1268359851870023681t,"@GMSRailway Sir kindly provide a good treatment to my wife Shubhasmita parida ,suffering with Covid 19 and she is pregnant ,now at perambur railway hospital please sir last 4 days heavy dry cough she unable to walk fully weak.m, its a humble request sir.", gmsrailway sir kindly provide a good treatment to my wife shubhasmita parida  suffering with covid 19 and she is pregnant  now at perambur railway hospital please sir last 4 days heavy dry cough she unable to walk fully weak m  its a humble request sir ,3,3,secondary
156,1238640193176924160t,"ang sa akin lang is maging responsible sana tayo, if we're having coughs and colds na, self-medicate na agad, take preemptive measures na agad kahit hindi covid-related  we should be ware not only for ourselves, but also for those na nakaka-in contact natin",ang sa akin lang is maging responsible sana tayo  if we are having coughs and colds na  self medicate na agad  take preemptive measures na agad kahit hindi covid related  we should be ware not only for ourselves  but also for those na nakaka in contact natin,0,0,non-reporting
157,1322029263764279298t,"I’ve really debated on posting this or not, but Monday I tested positive for corona. Idc what anybody says. WEAR YOUR MASK. I miss my baby so much it’s not even funny. I am 22 years old. I should not be having breathing problems this bad.  https://t.co/GHCS9Dd7WO",i have really debated on posting this or not  but monday i tested positive for corona  idc what anybody says  wear your mask  i miss my baby so much it is not even funny  i am 22 years old  i should not be having breathing problems this bad   ,2,2,primary
158,1323542224651636743t,*suddenly feels like shit with sore throat and a cough*  is this covid-19?, suddenly feels like shit with sore throat and a cough   is this covid 19 ,2,2,primary
159,1290578829552111617t,"We've been guilt tripped but don't forget covid affected everyone, they desperately need this win so much that they did an english guide for the live vote idk if y'all realize    #ATEEZ #FEVER_Part_1 #INCEPTION #에이티즈 @ATEEZofficial",we have been guilt tripped but do not forget covid affected everyone  they desperately need this win so much that they did an english guide for the live vote i do not know if you all realize     ateez  fever part 1  inception        ateezofficial,0,0,non-reporting
160,1238808309551022080t,"Carlo Ancelotti on COVID-19: “We’re not really self-isolating at all, but some prevention measures did come in after a player had a fever, but temperature has dropped now and that’s the most important thing.” (Source: La Gazzetta dello Sport)  https://t.co/S4rcff9GbN",carlo ancelotti on covid 19   we are not really self isolating at all  but some prevention measures did come in after a player had a fever  but temperature has dropped now and that is the most important thing    source  la gazzetta dello sport   ,1,1,third-party
161,1326655678874865664t,"My grandpa tried to clown me and said I had COVID but said ""don't come in my house with that cuh cuh conjunctivitis"". Bitch 😂 I had to flame him.",my grandpa tried to clown me and said i had covid but said  do not come in my house with that cuh cuh conjunctivitis   bitch  face with tears of joy  i had to flame him ,2,2,primary
162,1279846584914710532t,"@sajklan @Space_Cowboy175 @CryptoDonAlt @CryptoCobain Says who?, people with breathing problems get treated for Corona, happened to my aunt in the UK, and the numbers don’t add up one bit.", sajklan  space cowboy175  cryptodonalt  cryptocobain says who   people with breathing problems get treated for corona  happened to my aunt in the uk  and the numbers do not add up one bit ,3,3,secondary
163,1327449501624360961t,Ever since I had Covid I always have a headache.. it’s been almost 3 months. 😩,ever since i had covid i always have a headache   it is been almost 3 months   weary face ,2,2,primary
164,1293392853180145664t,@danpfeiffer Give it a few months. About when 90% of the populace that supports trump gets covid and has breathing problems.  The ability to breath is a great motivator., danpfeiffer give it a few months  about when 90  of the populace that supports trump gets covid and has breathing problems   the ability to breath is a great motivator ,0,0,non-reporting
165,1290732385387020296t,@Tops_Dragon He's gotten a fever and they are testing to see if it's pneumonia but at least it's not corona, tops dragon he is gotten a fever and they are testing to see if it is pneumonia but at least it is not corona,1,1,third-party
166,1284961333017038849t,is this just a regular fever or corona? 😶,is this just a regular fever or corona   face without mouth ,0,0,non-reporting
